Driving Task: assets/DrivingTasks/Projects/init_drive/init_drive.xml
Creation Time: 2023-01-23 11:20:37.430
Driver: TestDriver
Used Format = Time (ms) : Timestamp : Position (x,y,z) : Rotation (x,y,z,w) : Speed (km/h) : Steering Wheel Position [-1,1] : Gas Pedal Position : Brake Pedal Position : Engine Running : Front Position(x,y,z) : Reference Objects
1674469241383:2023-01-23 11.20.41.383:-812.0955:0.13559489:96.09611:4.7151273E-4:0.7070992:-4.7123677E-4:0.7071141:47.89:1.3380666E-5:0.0:0.0:true:-827.05115:1.155971:96.09579:[]
1674469241455:2023-01-23 11.20.41.455:-812.89417:0.13609749:96.09611:3.4707465E-4:0.7071009:-3.4686193E-4:0.70711255:47.93:1.332436E-5:0.0:0.0:true:-827.84973:1.1508431:96.095856:[]
1674469241508:2023-01-23 11.20.41.508:-813.56024:0.1361371:96.09611:3.3799332E-4:0.70710194:-3.3781774E-4:0.7071114:47.96:1.3258864E-5:0.0:0.0:true:-828.5158:1.1504161:96.0959:[]
1674469241557:2023-01-23 11.20.41.557:-814.22675:0.13606146:96.09611:3.567425E-4:0.70710325:-3.565041E-4:0.7071102:48.0:1.3201163E-5:0.0:0.0:true:-829.18225:1.1511393:96.095955:[]
1674469241612:2023-01-23 11.20.41.612:-814.89386:0.13445483:96.09611:7.640038E-4:0.7071041:-7.6374435E-4:0.7071086:48.04:1.3142711E-5:0.0:0.0:true:-829.8493:1.167178:96.09601:[]
1674469241632:2023-01-23 11.20.41.632:-815.42786:0.13474283:96.09611:6.8701775E-4:0.7071051:-6.86754E-4:0.7071078:48.06:1.308364E-5:0.0:0.0:true:-830.3833:1.1646063:96.096054:[]
1674469241682:2023-01-23 11.20.41.682:-816.0957:0.1355772:96.09611:4.7504326E-4:0.7071065:-4.747935E-4:0.7071067:48.09:1.3023933E-5:0.0:0.0:true:-831.05115:1.1561155:96.0961:[]
1674469241761:2023-01-23 11.20.41.761:-816.8978:0.13467231:96.09611:7.0840196E-4:0.7071078:-7.0818583E-4:0.7071051:48.14:1.2963596E-5:0.0:0.0:true:-831.8533:1.1651204:96.09616:[]
1674469241786:2023-01-23 11.20.41.786:-817.433:0.13503785:96.09611:6.1358936E-4:0.70710886:-6.133578E-4:0.7071042:48.17:1.2893903E-5:0.0:0.0:true:-832.38837:1.1616589:96.0962:[]
1674469241832:2023-01-23 11.20.41.832:-818.1023:0.13572745:96.09611:4.382628E-4:0.70711017:-4.380477E-4:0.70710313:48.2:1.282336E-5:0.0:0.0:true:-833.0576:1.1546012:96.09625:[]
1674469241909:2023-01-23 11.20.41.909:-818.90594:0.13610257:96.09611:3.4493496E-4:0.70711184:-3.4472908E-4:0.7071015:48.23:1.2769286E-5:0.0:0.0:true:-833.86127:1.1507381:96.09632:[]
1674469241956:2023-01-23 11.20.41.956:-819.5762:0.13611504:96.09611:3.4221346E-4:0.7071129:-3.4202304E-4:0.7071004:48.26:1.2697288E-5:0.0:0.0:true:-834.53143:1.1505771:96.096375:[]
1674469242001:2023-01-23 11.20.42.001:-820.24677:0.13604663:96.09611:3.5919616E-4:0.7071143:-3.5897628E-4:0.7070992:48.29:1.2633123E-5:0.0:0.0:true:-835.202:1.1512398:96.09642:[]
1674469242053:2023-01-23 11.20.42.053:-820.9177:0.13599724:96.09612:3.7107946E-4:0.7071156:-3.7087564E-4:0.7070978:48.31:1.2568232E-5:0.0:0.0:true:-835.873:1.1517304:96.09649:[]
1674469242100:2023-01-23 11.20.42.100:-821.58905:0.13599198:96.09616:3.7209445E-4:0.707117:-3.7192652E-4:0.7070964:48.34:1.249378E-5:0.0:0.0:true:-836.5443:1.1517872:96.09659:[]
1674469242146:2023-01-23 11.20.42.146:-822.2608:0.13600628:96.0962:3.6855738E-4:0.70711845:-3.6842166E-4:0.70709497:48.37:1.2409559E-5:0.0:0.0:true:-837.216:1.1516483:96.09669:[]
1674469242196:2023-01-23 11.20.42.196:-822.9329:0.13601671:96.09624:3.6591646E-4:0.70712:-3.658016E-4:0.7070935:48.4:1.233321E-5:0.0:0.0:true:-837.88806:1.1515418:96.09679:[]
1674469242243:2023-01-23 11.20.42.243:-823.60535:0.13601966:96.096275:3.649306E-4:0.7071215:-3.6483377E-4:0.707092:48.42:1.2247066E-5:0.0:0.0:true:-838.5605:1.1515003:96.09689:[]
1674469242287:2023-01-23 11.20.42.287:-824.27814:0.13601895:96.09631:3.6497667E-4:0.707123:-3.6487015E-4:0.7070905:48.45:1.215989E-5:0.0:0.0:true:-839.2333:1.1515002:96.09699:[]
1674469242336:2023-01-23 11.20.42.336:-825.086:0.13601744:96.09636:3.653382E-4:0.70712477:-3.652135E-4:0.7070887:48.48:1.1982428E-5:0.0:0.0:true:-840.0411:1.1515144:96.097115:[]
1674469242384:2023-01-23 11.20.42.384:-825.89435:0.13601705:96.096405:3.6533337E-4:0.70712656:-3.6521605E-4:0.7070869:48.51:1.1891999E-5:0.0:0.0:true:-840.8494:1.1515149:96.09724:[]
1674469242432:2023-01-23 11.20.42.432:-826.56836:0.1360173:96.09644:3.6512094E-4:0.70712805:-3.650083E-4:0.70708543:48.53:1.1809487E-5:0.0:0.0:true:-841.52344:1.151506:96.097336:[]
1674469242482:2023-01-23 11.20.42.482:-827.24274:0.13601755:96.09648:3.6500563E-4:0.70712954:-3.649048E-4:0.70708394:48.56:1.1708069E-5:0.0:0.0:true:-842.19775:1.1515013:96.09744:[]
1674469242533:2023-01-23 11.20.42.533:-828.0524:0.13601765:96.09653:3.6478633E-4:0.7071313:-3.6469274E-4:0.70708215:48.59:1.1623473E-5:0.0:0.0:true:-843.0074:1.1514928:96.097565:[]
